,state,county_and_city,censusIncome,B19013_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E
0,Kentucky,Jefferson County,"                                                    B19013_001E  B23025_002E  \
Jefferson County, Kentucky: Summary level: 050,...        59049       401186   

                                                    B23025_003E  B23025_004E  \
Jefferson County, Kentucky: Summary level: 050,...       400762       382639   

                                                    B23025_005E  B23025_006E  \
Jefferson County, Kentucky: Summary level: 050,...        18123          424   

                                                    B23025_007E  
Jefferson County, Kentucky: Summary level: 050,...       215883  ",59049,401186.0,400762.0,382639.0,18123.0,424.0,215883.0
1,Minnesota,Hennepin County,"                                                    B19013_001E  B23025_002E  \
Hennepin County, Minnesota: Summary level: 050,...        82369       733485   

                                                    B23025_003E  B23025_004E  \
Hennepin County, Minnesota: Summary level: 050,...       733054       709821   

                                                    B23025_005E  B23025_006E  \
Hennepin County, Minnesota: Summary level: 050,...        23233          431   

                                                    B23025_007E  
Hennepin County, Minnesota: Summary level: 050,...       283554  ",82369,733485.0,733054.0,709821.0,23233.0,431.0,283554.0
2,Minnesota,Olmsted County,"                                                    B19013_001E  B23025_002E  \
Olmsted County, Minnesota: Summary level: 050, ...        80096        88418   

                                                    B23025_003E  B23025_004E  \
Olmsted County, Minnesota: Summary level: 050, ...        88418        86582   

                                                    B23025_005E  B23025_006E  \
Olmsted County, Minnesota: Summary level: 050, ...         1836            0   

                                                    B23025_007E  
Olmsted County, Minnesota: Summary level: 050, ...        35287  ",80096,88418.0,88418.0,86582.0,1836.0,0.0,35287.0
3,Minnesota,Scott County,"                                                    B19013_001E  B23025_002E  \
Scott County, Minnesota: Summary level: 050, st...       108761        88061   

                                                    B23025_003E  B23025_004E  \
Scott County, Minnesota: Summary level: 050, st...        87793        85697   

                                                    B23025_005E  B23025_006E  \
Scott County, Minnesota: Summary level: 050, st...         2096          268   

                                                    B23025_007E  
Scott County, Minnesota: Summary level: 050, st...        24934  ",108761,88061.0,87793.0,85697.0,2096.0,268.0,24934.0
4,Arkansas,Faulkner County,"                                                    B19013_001E  B23025_002E  \
Faulkner County, Arkansas: Summary level: 050, ...        57642        63234   

                                                    B23025_003E  B23025_004E  \
Faulkner County, Arkansas: Summary level: 050, ...        62680        61283   

                                                    B23025_005E  B23025_006E  \
Faulkner County, Arkansas: Summary level: 050, ...         1397          554   

                                                    B23025_007E  
Faulkner County, Arkansas: Summary level: 050, ...        37240  ",57642,63234.0,62680.0,61283.0,1397.0,554.0,37240.0
5,Arkansas,Benton County,"                                                    B19013_001E  B23025_002E  \
Benton County, Arkansas: Summary level: 050, st...        69130       138454   

                                                    B23025_003E  B23025_004E  \
Benton County, Arkansas: Summary level: 050, st...       138368       135458   

                                                    B23025_005E  B23025_006E  \
Benton County, Arkansas: Summary level: 050, st...         2910           86   

                                                    B23025_007E  
Benton County, Arkansas: Summary level: 050, st...        75917  ",69130,138454.0,138368.0,135458.0,2910.0,86.0,75917.0
6,Kansas,Sedgwick County,"                                                    B19013_001E  B23025_002E  \
Sedgwick County, Kansas: Summary level: 050, st...        59716       271076   

                                                    B23025_003E  B23025_004E  \
Sedgwick County, Kansas: Summary level: 050, st...       267400       253334   

                                                    B23025_005E  B23025_006E  \
Sedgwick County, Kansas: Summary level: 050, st...        14066         3676   

                                                    B23025_007E  
Sedgwick County, Kansas: Summary level: 050, st...       128653  ",59716,271076.0,267400.0,253334.0,14066.0,3676.0,128653.0
7,Kansas,Douglas County,"                                                    B19013_001E  B23025_002E  \
Douglas County, Kansas: Summary level: 050, sta...        64233        74579   

                                                    B23025_003E  B23025_004E  \
Douglas County, Kansas: Summary level: 050, sta...        74223        70700   

                                                    B23025_005E  B23025_006E  \
Douglas County, Kansas: Summary level: 050, sta...         3523          356   

                                                    B23025_007E  
Douglas County, Kansas: Summary level: 050, sta...        26963  ",64233,74579.0,74223.0,70700.0,3523.0,356.0,26963.0
8,Pennsylvania,Cumberland County,"                                                    B19013_001E  B23025_002E  \
Cumberland County, Pennsylvania: Summary level:...        75391       137716   

                                                    B23025_003E  B23025_004E  \
Cumberland County, Pennsylvania: Summary level:...       136322       132911   

                                                    B23025_005E  B23025_006E  \
Cumberland County, Pennsylvania: Summary level:...         3411         1394   

                                                    B23025_007E  
Cumberland County, Pennsylvania: Summary level:...        70133  ",75391,137716.0,136322.0,132911.0,3411.0,1394.0,70133.0
9,Pennsylvania,Allegheny County,"                                                    B19013_001E  B23025_002E  \
Allegheny County, Pennsylvania: Summary level: ...        64871       665320   

                                                    B23025_003E  B23025_004E  \
Allegheny County, Pennsylvania: Summary level: ...       664092       636557   

                                                    B23025_005E  B23025_006E  \
Allegheny County, Pennsylvania: Summary level: ...        27535         1228   

                                                    B23025_007E  
Allegheny County, Pennsylvania: Summary level: ...       350176  ",64871,665320.0,664092.0,636557.0,27535.0,1228.0,350176.0
10,Pennsylvania,Westmoreland County,"                                                    B19013_001E  B23025_002E  \
Westmoreland County, Pennsylvania: Summary leve...        59073       178558   

                                                    B23025_003E  B23025_004E  \
Westmoreland County, Pennsylvania: Summary leve...       178505       171479   

                                                    B23025_005E  B23025_006E  \
Westmoreland County, Pennsylvania: Summary leve...         7026           53   

                                                    B23025_007E  
Westmoreland County, Pennsylvania: Summary leve...       114507  ",59073,178558.0,178505.0,171479.0,7026.0,53.0,114507.0
11,Pennsylvania,Blair County,"                                                    B19013_001E  B23025_002E  \
Blair County, Pennsylvania: Summary level: 050,...        51004        60834   

                                                    B23025_003E  B23025_004E  \
Blair County, Pennsylvania: Summary level: 050,...        60803        58519   

                                                    B23025_005E  B23025_006E  \
Blair County, Pennsylvania: Summary level: 050,...         2284           31   

                                                    B23025_007E  
Blair County, Pennsylvania: Summary level: 050,...        39261  ",51004,60834.0,60803.0,58519.0,2284.0,31.0,39261.0
